PARTY MENU,UNLIMITED PAV BHAJI,80.00,(पाव भाजी)
PARTY MENU,UNLIMITED PULAV,60.00,(पुलाव)
PARTY MENU,UNLIMITED (PAV BHAJI + PULAV),120.00,(वपाव भाजी + पुलाव)
SANDWICH,Veg Sandwich,30.00,(व्हेज सँडविच)
SANDWICH,Veg Cheese Sandwich,40.00,(व्हेज चीज सँडविच)
SANDWICH,Cheese Sandwich,45.00,(चीज सँडविच)
SANDWICH,Veg Grill Sandwich,45.00,(व्हेज ग्रील सँडविच)
SANDWICH,Veg Cheese Grill Sandwich,50.00,(व्हेज चीज ग्रील सँडविच)
BURGER,Burger,40.00,(बर्गर)
BURGER,Cheese Burger,50.00,(चीज बर्गर)
PIZZA,Pav Bhaji Pizza,100.00,(पाव भाजी पिझ्झा)
PIZZA,Mix Veg Pizza,80.00,(मिक्स वेज पिझ्झा)
PIZZA,Paneer Chilly Pizza,80.00,(पनीर चिल्ली पिझ्झा)
PIZZA,Paneer Tikka Pizza,80.00,(पनीर टिक्का पिझ्झा)
PIZZA,Cheese Pizza,90.00,(चीज पिझ्झा)
PULAV,Palak Methi Pulav,75.00,(पालक मेथी पुलाव)
PULAV,Chole Pulav,75.00,(छोले पुलाव)
PULAV,Mashroom Dam Pulav,75.00,(मशरूम दम पुलाव)
PULAV,Alu Dam Pulav,75.00,(आलू दम पुलाव)
PULAV,Paneer Pulav,75.00,(पनीर पुलाव)
PULAV,Tava Pulav,75.00,(तवा पुलाव)
PULAV,Veg Pulav,75.00,(व्हेज पुलाव)
PAV-BHAJI,Pav Bhaji,60.00,(पाव भाजी)
PAV-BHAJI,Jain Pav Bhaji,65.00,(जैन पाव भाजी)
PAV-BHAJI,Paneer Pav Bhaji,70.00,(पनीर पाव भाजी)
PAV-BHAJI,Cheese Pav Bhaji,70.00,(चीज पाव भाजी)
PAV-BHAJI,Khada Cheese Pav Bhaji,70.00,(खडा चीज पाव भाजी)
PAV-BHAJI,Khada Paneer Pav Bhaji,70.00,(खडा पनीर पाव भाजी)
PAV-BHAJI,Khada Pav Bhaji,60.00,(खडा पाव भाजी)
